p,U:0,U:1,U:2,IntegrationTime,Vorticity:0,Vorticity:1,Vorticity:2,Rotation,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,Point ID
1053.61,0.000543955,0.00277124,0,2192.64,0,0,-0.0261043,-1.64424e-17,0,8.23304e-08,-1.8087e-08,-1,-1.02213,-3.47521,0.5,118
1053.64,0.00120695,0.00331042,0,2213.22,0,0,-0.0274339,-1.64424e-17,0,7.96576e-08,-2.75698e-08,-1,-1.006,-3.41943,0.5,119
1053.67,0.00164246,0.00367646,0,2224.6,0,0,-0.0325933,-1.64424e-17,0,7.69662e-08,-3.4375e-08,-1,-0.990948,-3.38227,0.5,120
1053.7,0.00216623,0.0041239,0,2238.24,0,0,-0.0335041,-1.64424e-17,0,7.43894e-08,-3.96441e-08,-1,-0.966819,-3.33297,0.5,121
1053.78,0.00300792,0.00476681,0,2261.08,0,0,-0.0393462,-1.64424e-17,0,7.17484e-08,-4.42448e-08,-1,-0.913573,-3.24086,0.5,122
1053.84,0.00345719,0.00510099,0,2274.78,0,0,-0.040323,-1.64424e-17,0,6.97322e-08,-4.73587e-08,-1,-0.871196,-3.17632,0.5,123
1053.91,0.00380139,0.00522214,0,2288.35,0,0,-0.0450004,-1.64424e-17,0,6.83852e-08,-4.92837e-08,-1,-0.823162,-3.10791,0.5,124
1053.98,0.00404922,0.00540423,0,2298.72,0,0,-0.0458212,-1.64424e-17,0,6.74417e-08,-5.05672e-08,-1,-0.783328,-3.05405,0.5,125
1054.04,0.00417222,0.00537436,0,2308.32,0,0,-0.0449112,-1.64424e-17,0,6.65188e-08,-5.17753e-08,-1,-0.744106,-3.00245,0.5,126
1054.12,0.00412124,0.00503902,0,2319.51,0,0,-0.045852,-1.64424e-17,0,6.51713e-08,-5.34615e-08,-1,-0.696633,-2.94288,0.5,127
1054.3,0.00377235,0.00429608,0,2343.6,0,0,-0.0477885,-1.64424e-17,0,6.33887e-08,-5.55635e-08,-1,-0.595458,-2.82304,0.5,128
1054.39,0.00342995,0.00359371,0,2356.85,0,0,-0.0435939,-1.64424e-17,0,6.06773e-08,-5.85123e-08,-1,-0.544494,-2.76703,0.5,129
1054.48,0.00291009,0.0026039,0,2370.6,0,0,-0.0443156,-1.64424e-17,0,5.67357e-08,-6.23417e-08,-1,-0.495672,-2.71926,0.5,130
1054.52,0.0026886,0.0021418,0,2378.35,0,0,-0.0399193,-1.64424e-17,0,5.27593e-08,-6.5741e-08,-1,-0.472572,-2.69972,0.5,131
1054.57,0.00249461,0.00179447,0,2387.2,0,0,-0.0401914,-1.64424e-17,0,4.82032e-08,-6.91511e-08,-1,-0.448364,-2.6813,0.5,132
1054.63,0.00213016,0.00113798,0,2400.02,0,0,-0.0402569,-1.64424e-17,0,4.15709e-08,-7.48287e-08,-1,-0.415159,-2.66015,0.5,133
1054.65,0.00195583,0.000819816,0,2405.98,0,0,-0.0401301,-1.64424e-17,0,3.03208e-08,-8.14258e-08,-1,-0.402201,-2.65394,0.5,134
1054.68,0.0016298,0.000150193,0,2420.78,0,0,-0.0326158,-1.64424e-17,0,5.87972e-09,-8.66888e-08,-1,-0.372031,-2.64572,0.5,135
1054.7,0.00130528,-0.000534789,0,2435.91,0,0,-0.0314957,-1.64424e-17,0,-3.06744e-08,-8.26477e-08,-1,-0.347709,-2.64891,0.5,136
1054.7,0.00107978,-0.00102454,0,2448.23,0,0,-0.0303007,-1.64424e-17,0,-5.986e-08,-6.64108e-08,-1,-0.333263,-2.65838,0.5,137
1054.68,0.000918274,-0.00138859,0,2459.44,0,0,-0.020861,-1.64424e-17,0,-7.40487e-08,-5.01038e-08,-1,-0.32274,-2.67129,0.5,138
1054.66,0.000788286,-0.00169135,0,2470.08,0,0,-0.0196824,-1.64424e-17,0,-8.1366e-08,-3.70565e-08,-1,-0.314171,-2.68676,0.5,139
1054.63,0.000607041,-0.00206923,0,2487.55,0,0,-0.0169929,-1.64424e-17,0,-8.553e-08,-2.60428e-08,-1,-0.303033,-2.71737,0.5,140
1054.59,0.000475044,-0.0022998,0,2502.12,0,0,-0.0157225,-1.64424e-17,0,-8.78225e-08,-1.67576e-08,-1,-0.2955,-2.74787,0.5,141
1054.5,0.000216876,-0.00272671,0,2535.84,0,0,-0.012634,-1.64424e-17,0,-8.90949e-08,-7.46332e-09,-1,-0.284849,-2.82629,0.5,142
1054.39,-2.76173e-05,-0.0030984,0,2570.81,0,0,-0.00907065,-1.64424e-17,-0,-8.93985e-08,1.22931e-09,-1,-0.281775,-2.92187,0.5,143
1054.23,-0.000348911,-0.00312919,0,2619.5,0,0,-0.00529377,-1.64424e-17,-0,-8.8883e-08,9.66503e-09,-1,-0.290765,-3.0724,0.5,144
1054.12,-0.000624212,-0.00297573,0,2658.22,0,0,-0.00302392,-1.64424e-17,-0,-8.73776e-08,1.89412e-08,-1,-0.309815,-3.19276,0.5,145
1054.03,-0.000946502,-0.00266187,0,2698.61,0,0,-0.0047402,-1.64424e-17,-0,-8.4289e-08,2.98157e-08,-1,-0.342547,-3.31104,0.5,146
1053.98,-0.00122966,-0.00232911,0,2730.59,0,0,-0.00406369,-1.64424e-17,-0,-8.04894e-08,4.16787e-08,-1,-0.378522,-3.39381,0.5,147
1053.95,-0.00143622,-0.00205925,0,2754.62,0,0,-0.00521256,-1.64424e-17,-0,-7.48267e-08,5.32791e-08,-1,-0.411344,-3.44788,0.5,148
1053.91,-0.00169627,-0.00172289,0,2783.74,0,0,-0.00489088,-1.64424e-17,-0,-6.36369e-08,6.62423e-08,-1,-0.457941,-3.50411,0.5,149
1053.86,-0.0020821,-0.00116259,0,2833.21,-1.0842e-19,0,-0.00512634,-1.41008e-17,9.46628e-20,-4.6713e-08,7.90923e-08,-1,-0.552707,-3.57643,0.5,150
1053.82,-0.00230222,-0.000773041,0,2869.73,0,0,-0.00458308,-1.23724e-17,-0,-3.04961e-08,8.66469e-08,-1,-0.632276,-3.6115,0.5,151
1053.78,-0.00239103,-0.000485713,0,2896.56,0,0,-0.00575737,-1.23724e-17,-0,-1.85916e-08,9.11816e-08,-1,-0.695187,-3.62835,0.5,152
1053.75,-0.00240888,-0.000197418,0,2923.11,0,0,-0.00643737,-1.23724e-17,-0,-6.44681e-09,9.51959e-08,-1,-0.759275,-3.63742,0.5,153
1053.69,-0.0022505,0.000225994,0,2958.94,0,0,-0.0085141,-1.23724e-17,0,8.73677e-09,9.61745e-08,-1,-0.845753,-3.63695,0.5,154
1053.66,-0.00200666,0.000542667,0,2983.02,0,0,-0.0102268,-1.23724e-17,0,2.5969e-08,9.30134e-08,-1,-0.899328,-3.62744,0.5,155
1053.63,-0.00169063,0.000895608,0,3007.12,0,0,-0.0117527,-1.23724e-17,0,4.36494e-08,8.61429e-08,-1,-0.945958,-3.60942,0.5,156
1053.62,-0.00143063,0.00112787,0,3021.14,0,0,-0.0165343,-1.23724e-17,0,6.17505e-08,7.42479e-08,-1,-0.968516,-3.59498,0.5,157
